COUNTRY,TOTAL CONFIRMED CASES,ACTIVE CASES,RECOVERED,TOTAL DEATHS
Algeria,102144,30125,69212,2807
Angola,18193,3905,13872,416
Benin,3304,75,3185,448
Botswana,16050,3075,12927,48
Burkina Faso,8082,2148,5845,89
Burundi,986,211,773,2
Cameroon,26848,1508,24892,448
Cape Verde,12392,545,11733,114
Central African Republic,4973,25,4885,63
Chad,2537,465,1965,107
Comoros,1150,272,860,18
Congo-Brazaville,7127,1173,5846,108
Democratic Republic of Congo,19436,4082,14743,611
Djibouti,5871,30,5780,108
Egypt,149792,22695,118900,8197
Equatorial Guinea,5289,49,5154,86
Eritrea,1445,747,740,3
Eswatini,11435,3464,7676,295
Ethiopia,128316,12948,113374,1994
Gabon,9694,130,9498,66
Gambia,3857,55,3677,125
Ghana,55772,998,54438,336
Guinea,13942,638,13223,81
Guinea Bissau,2478,33,2400,45
Ivory Coast,23750,1041,22570,139
Kenya,98271,15686,80875,1710
Lesotho,5937,4280,1572,85
Liberia,1779,290,1406,83
Libya,104745,22872,80292,1581
Madagascar,18001,287,17447,267
Malawi,8575,2524,5826,225
Mali,7600,2011,5291,298
Mauritania,15512,1693,13435,384
Mauritius,539,15,514,10
Morocco,452532,19893,424896,7743
Mozambique,21939,4212,17535,192
Namibia,28259,3713,24292,254
Niger ,3877,1365,2386,126
Nigeria,100087,18699,80030,1358
Rwanda,9630,2536,6974,120
Sao Tome and Principe,1066,61,988,17
Sengal,21255,2562,18218,465
Seychelles,313,252,214,0
Sierra Leone,2834,774,1983,77
Somalia,4726,957,3639,130
South Africa,1231597,232066,966368,33163
South Sudan,3649,421,3165,63
Sudan,23316,8342,13524,1468
Tanzania,509,305,183,21
Togo,3957,271,3614,72
Tunisia,159276,36360,117701,5215
Uganda,37742,24589,12852,301
Western Sahara,0,0,0,0
Zambia,27728,6661,20598,469
Zimbabwe,21477,8388,12582,507
